activation_output,bias_change,description,epoch,error,error_sum,final_error,from_neuron,gradient,input_0,input_1,loss_value,neuron_index,new_bias,new_weight,old_bias,old_weight,prediction,raw_error,sample_index,sigmoid_derivative,step_type,target,target_0,to_neuron,weight_change,weighted_sum
,,Processing sample 0 in epoch 0,0,,,,,,[0.],[0.],,,,,,,,,0,,sample_info,,[0.],,,
0.5,,Hidden neuron 0 forward pass,,,,,,,,,,0,,,,,,,,,forward_hidden,,,,,[0.]
0.5,,Hidden neuron 1 forward pass,,,,,,,,,,1,,,,,,,,,forward_hidden,,,,,[0.]
0.49571519020615,,Output neuron 0 forward pass,,[-0.49571519],,,,,,,,0,,,,,,,,,forward_output,[0.],,,,-0.01713965875320711
,,MSE loss calculation,,,,,,,,,0.2457335498011195,,,,,,,,,,loss_calculation,,,,,
,,Output neuron 0 error calculation,,,,[-0.1239197],,,,,,0,,,,,0.49571519020615,[-0.49571519],,0.2499816404050305,backprop_output_error,[0.],,,,
,,Hidden neuron 0 error calculation,,,[0.01745518],[0.0043638],,,,,,0,,,,,,,,0.25,backprop_hidden_error,,,,,
,,Hidden neuron 1 error calculation,,,[-0.0132073],[-0.00330182],,,,,,1,,,,,,,,0.25,backprop_hidden_error,,,,,
,,Weight update: input 0 -> hidden 0,,,,,0,[0.],,,,,,[0.55084374],,0.5508437400452746,,,,,weight_update_input_hidden,,,0,[0.],
,,Weight update: input 0 -> hidden 1,,,,,0,[-0.],,,,,,[0.33343711],,0.3334371141740289,,,,,weight_update_input_hidden,,,1,[0.],
,,Weight update: input 1 -> hidden 0,,,,,1,[0.],,,,,,[0.61695045],,0.6169504480355874,,,,,weight_update_input_hidden,,,0,[0.],
,,Weight update: input 1 -> hidden 1,,,,,1,[-0.],,,,,,[0.93252269],,0.9325226941311162,,,,,weight_update_input_hidden,,,1,[0.],
,,Weight update: hidden 0 -> output 0,,,,,0,[-0.03097992],,,,,,[-0.17183875],,-0.1408588220200322,,,,,weight_update_hidden_output,,,0,[-0.03097992],
,,Weight update: hidden 1 -> output 0,,,,,1,[-0.03097992],,,,,,[0.07559958],,0.10657950451361797,,,,,weight_update_hidden_output,,,0,[-0.03097992],
,[0.0021819],Bias update: hidden neuron 0,,,,,,[0.0021819],,,,0,[0.0021819],,0.0,,,,,,bias_update_hidden,,,,,
,[-0.00165091],Bias update: hidden neuron 1,,,,,,[-0.00165091],,,,1,[-0.00165091],,0.0,,,,,,bias_update_hidden,,,,,
,[-0.06195985],Bias update: output neuron 0,,,,,,[-0.06195985],,,,0,[-0.06195985],,0.0,,,,,,bias_update_output,,,,,
